practices,social,study vs product,system perception,system use,value judgements
,,,,lost (2),talk (1)
,,,,late (2),important (1)
,,,,delivering (2),guaranteed (1)
,,,,robot (2),frequently (1)
,,,,angry (2),originally (1)
,,,,theyve (2),notification (1)
,,,,knowing (2),prefer (1)
,,,,behaviour (2),oranges (1)
,,,,necessary (2),shakes (1)
,,,,brilliant (2),making (1)
,,,,listened (2),sparing (1)
,,,,note (2),considering (1)
,,,,free (2),especially (1)
,,,,sick (2),express (1)
,,,,babies (2),means (1)
,,,,faster (2),helping (1)
,,,,words (2),affect (1)
,,,,aspect (2),decision (1)
,,,,nobody (2),keys (1)
,,,,opened (2),leave (1)
,,,,omelette (2),microbreweries (1)
,,,,settings (2),london (1)
,,,,white (2),fashionable (1)
,,,,thoughtful (2),acceptable (1)
,,,,he (2),rfid (1)
,,,,priorities (2),banana (1)
,,,,conscious (2),analyse (1)
,,,,element (2),cameras (1)
,,,,tells (2),depth (1)
,,,,share (2),radars (1)
,,,,shouldnt (2),boozing (1)
,,,,ideally (2),sports (1)
,,,,ocado (2),living (1)
,,,,everyone (2),ofyes (1)
,,,,bus (2),takes (1)
,,,,massive (2),share (1)
,,,,olive (2),care (1)
,,,,perspective (2),initiated (1)
,,,,voice (2),project (1)
,,,,slow (2),theah (1)
,,,,accounts (2),mentioning (1)
,,,,disconnected (2),reject (1)
,,,,knows (2),robot (1)
,,,,ai (2),cleaning (1)
,,,,loads (2),job (1)
,,,,broken (2),adjusting (1)
,,,,again (2),cleaner (1)
,,,,buttons (2),dust (1)
,,,,cook (2),butwe (1)
,,,,wire (2),weekend (1)
,,,,traumatised (2),together (1)
,,,,resarcher (2),spoke (1)
,,,,iot (2),hope (1)
,,,,collect (2),showing (1)
,,,,gives (2),within (1)
,,,,lemons (2),medium (1)
,,,,nothing (2),suggestion (1)
,,,,bothered (2),clear (1)
,,,,bin (2),soyes (1)
,,,,colour (2),seen (1)
,,,,shop (2),sensible (1)
,,,,changing (2),mmhmm (1)
